Date Posted,Transaction Reference #,Attorney Docket #, Status,Transaction ID,Type,Total Payment (+) / Refund (-),Customer Name
04/03/2017,13512100,A0848.70118US01,Processed,040317INTEFSW09220500,Payment,$960.00,
04/03/2017,14105994,M0656.70291US02,Processed,040317INTEFSW10200300,Payment,$180.00,
04/03/2017,62438208,D0755.70001US00,Processed,040317INTEFSW10385800,Payment,$260.00,
04/03/2017,15477206,B0801.70349US05,Processed,040317INTEFSW11483600,Payment,"$1,600.00",
04/03/2017,14965637,N0484.71173US00,Processed,040317INTEFSW11591400,Payment,$180.00,
04/03/2017,62480626,U1195.70091US00,Processed,040317INTEFSW12344200,Payment,$130.00,
04/03/2017,13232291,X0019.70021US00,Processed,040317INTEFSW12533500,Payment,$700.00,
04/03/2017,15388041,F0725.70022US01,Processed,040317INTEFSW13220400,Payment,$900.00,
04/03/2017,15516165,T0709.70073US00,Processed,040317INTEFSW13514300,Payment,$740.00,
04/03/2017,15516172,T0709.70076US00,Processed,040317INTEFSW13592300,Payment,$740.00,
04/03/2017,29599188,A1174.70005US00,Processed,040317INTEFSW14165100,Payment,$760.00,
04/03/2017,PCT/US17/25349,B1348.70029,Processed,040317INTEFSW14245400,Payment,"$2,559.00",
04/03/2017,29599198,A1174.70006US00,Processed,040317INTEFSW14330600,Payment,$760.00,
04/03/2017,13575999,R0606.70001US00,Processed,040317INTEFSW14351100,Payment,$700.00,
04/03/2017,15412123,T0679.70014US02,Processed,040317INTEFSW14425900,Payment,$800.00,
04/03/2017,14373949,S1459.71792US00,Processed,040317INTEFSW14490300,Payment,"$1,400.00",
04/03/2017,14425926,A1015.70009US00,Processed,040317INTEFSW15134702,Payment,$200.00,
04/03/2017,62480416,M0925.70554US00,Processed,040317INTEFSW20061200,Payment,$130.00,
04/03/2017,62480418,M0925.70552US00,Processed,040317INTEFSW21185700,Payment,$130.00,
04/03/2017,62480422,M0925.70553US00,Processed,040317INTEFSW21472800,Payment,$130.00,
04/03/2017,62480426,M0925.70561US00,Processed,040317INTEFSW22001200,Payment,$130.00,
04/03/2017,62480427,M0925.70562US00,Processed,040317INTEFSW22201200,Payment,$130.00,
04/03/2017,62480428,M0925.70563US00,Processed,040317INTEFSW22390900,Payment,$130.00,
04/03/2017,62480430,M0925.70564US00,Processed,040317INTEFSW22503700,Payment,$130.00,
04/03/2017,62480432,M0925.70565US00,Processed,040317INTEFSW23035200,Payment,$130.00,
04/03/2017,62480435,M0925.70566US00,Processed,040317INTEFSW23163700,Payment,$130.00,
04/03/2017,62480436,M0925.70559US00,Processed,040317INTEFSW23293300,Payment,$130.00,
04/03/2017,62480438,M0925.70560US00,Processed,040317INTEFSW23402500,Payment,$130.00,
04/03/2017,3886891,M0849.50150US00,Processed,040317INTESTTA12162000,Payment,$400.00,
04/03/2017,4195559,N0547.50000US00,Processed,040317INTESTTA13464700,Payment,$400.00,
04/03/2017,87395739,L0845.20000US00,Processed,040317INTTEAS08045800,Payment,$275.00,
04/04/2017,14778338,S1459.72029US00,Processed,040417INTEFSW09274700,Payment,$180.00,
04/04/2017,13393679,A0848.70115US01,Processed,040417INTEFSW09503600,Payment,$800.00,
04/04/2017,14807951,A0848.70015US05,Processed,040417INTEFSW10031400,Payment,"$1,400.00",
04/04/2017,14651553,S1459.72026US00,Processed,040417INTEFSW10170300,Payment,$180.00,
04/04/2017,14655243,S1459.71969US00,Processed,040417INTEFSW10494100,Payment,$180.00,
04/04/2017,14807951,A0848.70015US05,Processed,040417INTEFSW11222200,Payment,$180.00,
04/04/2017,14534516,B0801.70349US04,Processed,040417INTEFSW11493100,Payment,$600.00,
04/04/2017,14434466,L0764.70004US00,Processed,040417INTEFSW13060800,Payment,$480.00,
04/04/2017,15041358,T0679.70021US01,Processed,040417INTEFSW13345200,Payment,$90.00,
04/04/2017,62320117,I0447.70002US00,Processed,040417INTEFSW13564000,Payment,$50.00,
04/04/2017,14580617,V0288.70009US02,Processed,040417INTEFSW14193500,Payment,$200.00,
04/04/2017,14889093,T0659.70008US01,Processed,040417INTEFSW14233100,Payment,$90.00,
04/04/2017,13428340,S1681.70024US01,Processed,040417INTEFSW14483900,Payment,"$2,200.00",
